,Date,SM-BO,SM-MZ,MAT-NIF,SFA,DSP,C2 Sup,C4 inf,C5 supA,C5 inf,C6 s+m,C6 inf,BPL,MgO,Fe2O3,SiO2,CO2,BPLnif,MgOnif,Fe2O3nif,SiO2nif,CO2nif
0,Date,SM-BO,SM-MZ,MAT-NIF,SFA,DSP,C2 Sup,C4 inf,C5 supA,C5 inf,C6 s+m,C6 inf,BPL,MgO,Fe2O3,SiO2,CO2,BPL,MgO,Fe2O3,SiO2,CO2
1,1-janv.,0,16,0,0,0,0,0,0,33,28,23,53.22,1.3,0,12.85,8.92,53.84,1.24,0.32,12.85,7.97
2,2-janv.,0,31,0,0,0,0,0,0,26,22,21,52.81,1.31,0,13.23,9.21,53.41,1.36,0.3,13.63,7.9
3,3-janv.,0,20,0,0,0,0,14,0,21,27,18,53.64,1.27,0,13.57,8.54,50.69,1.3,0.31,12.41,9.84
4,4-janv.,0,17,0,0,0,0,6,0,29,26,23,53.55,1.3,0,13.14,8.74,53.09,1.51,0.32,13.75,8.16
5,5-janv.,0,26,0,0,0,0,12,0,21,21,21,53.44,1.35,0,13.63,8.72,54.6,0.98,0.33,13.57,7.54
6,6-janv.,0,29,0,0,0,0,7,0,22,20,22,53.1,1.33,0,13.51,8.91,57.22,1.04,0.28,11.26,7.01
7,7-janv.,0,45,0,0,0,0,4,0,16,25,11,52.56,1.35,0,11.11,8.88,57.37,1.17,0.29,11.02,7.17
8,8-janv.,0,58,0,0,0,0,0,0,7,23,12,51.96,1.33,0,11.42,8.88,55.17,1.27,0.29,12.35,8.28
9,9-janv.,0,54,0,0,0,0,6,0,9,23,8,52.48,1.29,0,11.12,8.73,51.75,1.32,0.31,12.4,9.35
10,10-janv.,0,74,0,0,0,0,0,0,4,22,0,51.04,1.38,0,11.78,9.38,49.79,0.87,0.3,14,9.01
11,11-janv.,0,44,0,0,0,0,8,0,6,34,8,53.37,1.15,0,12.9,8.22,55.14,1.71,0.28,12.46,7.46
12,12-janv.,0,32,0,0,0,0,5,0,21,24,18,52.8,1.33,0,12.27,8.91,57.81,1.29,0.29,10.62,6.98
13,13-janv.,0,43,0,0,0,0,0,0,14,25,18,52.57,1.28,0,12.73,8.83,54.9,1.69,0.3,12.17,7.46
14,14-janv.,0,46,0,0,0,0,0,0,16,20,18,52.12,1.36,0,12.87,9.05,55.04,1.46,0.3,12.85,7.62
15,15-janv.,0,42,0,0,0,0,0,0,18,24,15,52.29,1.34,0,12.53,9.04,53.07,1.71,0.31,12.24,9
16,16-janv.,0,36,0,0,0,0,0,0,19,32,12,52.78,1.33,0,11.86,9.05,55.87,1.57,0.29,12.51,8.3
17,17-janv.,0,55,0,0,0,0,0,0,3,25,17,52.68,1.28,0,12.82,8.95,55.78,1.25,0.33,12.82,7.91
18,18-janv.,0,35,0,0,0,0,0,0,23,24,19,53.2,1.38,0,12.53,9.01,53,1.44,0.34,12.8,8.6
19,19-janv.,0,45,0,0,0,0,0,0,22,20,13,52.71,1.41,0,12.43,9.2,54.19,0.98,0.3,12.7,8.05
20,20-janv.,0,33,0,0,0,0,0,17,14,27,9,52.52,1.49,0,13.34,9.02,54.99,1.2,0.29,12,7.88
21,21-janv.,0,39,0,0,0,0,0,16,24,22,0,51.5,1.63,0,12.24,9.79,51.86,1.62,0.34,10.77,9.6
22,22-janv.,0,49,0,0,0,0,0,7,18,26,0,52.14,1.47,0,12.74,9.24,53.1,1.45,0.34,12.96,7.54
23,23-janv.,0,38,0,0,0,0,0,4,21,28,10,52.52,1.65,0,12.83,9.44,54.39,1.66,0.32,10.96,9.09
24,24-janv.,0,31,0,0,0,0,6,11,7,38,7,53.42,1.48,0,13.22,8.59,54.01,1.9,0.34,12.15,8.28
25,25-janv.,0,30,0,0,0,0,0,0,29,31,10,53.77,1.49,0,12.08,8.84,58.25,1.6,0.31,11.27,7.79
26,26-janv.,0,27,0,0,0,0,0,10,12,33,18,53.67,1.43,0,13.12,8.39,59.39,1.5,0.32,10.86,7.24
27,27-janv.,0,37,0,0,0,0,0,18,0,30,15,53.49,1.5,0,13.57,8.13,58.23,1.46,0.31,10.43,7.04
28,28-janv.,0,32,0,0,0,0,16,7,0,31,14,54.85,1.37,0,11.97,7.49,54.69,1.49,0.33,12.24,8.23
29,29-janv.,0,44,0,0,0,0,14,0,0,27,15,54.5,1.29,0,11.79,7.6,58.58,1.23,0.32,12.02,6.54
30,30-janv.,0,40,0,0,0,0,0,19,0,27,14,52.99,1.45,0,12.58,8.36,56.03,1.87,0.33,11.39,9.02
31,31-janv.,0,39,0,0,0,0,0,20,0,28,13,53.99,1.42,0,13.58,7.99,59.37,1.27,0.34,12.62,7.3
32,1-févr.,0,43,0,0,0,0,0,15,0,20,21,53.31,1.55,0,12.36,8.03,53.75,1.58,0.3,9.9,9.22
33,2-févr.,0,37,0,0,0,0,0,30,0,25,9,53.22,1.71,0,12.12,8.2,56.36,1.28,0.29,0,8.2
34,3-févr.,0,28,0,0,0,0,0,16,0,33,24,53.8,1.32,0,12.5,7.72,58.1,1.11,0.27,0,6.83
35,4-févr.,0,45,0,0,0,0,0,20,0,21,13,52.92,1.57,0,12.49,8.38,57.1,1.4,0.33,0,7.57
36,5-févr.,0,52,0,0,0,0,0,21,0,16,10,53.18,1.68,0,12.84,8.05,52.89,2.11,0.34,0,8.94
37,6-févr.,0,56,0,0,0,0,0,17,0,13,13,53.32,1.66,0,13.2,7.94,50.77,1.66,0.33,0,9.63
38,7-févr.,0,66,0,0,0,0,0,5,0,18,11,53.3,1.61,0,12.99,7.79,51.9,1.83,0.31,12.37,9.49
39,8-févr.,0,47,0,0,0,0,0,17,0,22,14,52.35,1.64,0,12.87,8.93,50.91,1.85,0.3,13.81,9.84
40,9-févr.,0,44,0,0,0,0,0,9,8,28,12,52.47,1.65,0,12.51,9.01,53.78,1.72,0.3,13.34,7.88
41,10-févr.,0,34,0,0,0,0,0,0,20,30,16,53.07,1.55,0,12.59,8.74,51.95,1.68,0.28,14.37,8.4
42,11-févr.,0,43,0,0,0,0,0,0,17,18,22,52.99,1.6,0,12.71,8.84,53.01,1.14,0.31,13.77,8.34
43,12-févr.,0,34,0,0,0,0,0,0,21,23,22,53.7,1.54,0,12.92,8.51,51.88,1.55,0.32,12.84,8.04
44,13-févr.,0,43,0,0,0,0,0,0,16,20,21,53.34,1.58,0,12.96,8.61,56.77,1.17,0.3,0,7.35
45,14-févr.,0,47,0,0,0,0,0,8,15,22,9,52.24,1.86,0,13.14,9.11,55.36,1.38,0.29,0,7.49
46,15-févr.,0,44,0,0,0,0,0,18,0,21,17,52.58,1.63,0,12.96,8.98,59.77,1.21,0.33,8.79,6.4
47,16-févr.,0,70,0,0,0,0,0,0,7,14,9,52.07,1.59,0,12.59,8.98,53.67,1.48,0.34,12.97,8.57
48,17-févr.,0,52,0,0,0,0,0,0,15,17,17,52.98,1.67,0,12.77,8.8,54.47,1.47,0.3,13.44,7.86
49,18-févr.,0,47,0,0,0,0,0,0,14,24,15,53.23,1.6,0,12.88,8.64,53,1.52,0.29,14.08,7.49
50,19-févr.,0,47,0,0,0,0,0,0,14,24,15,53,1.64,0,12.68,8.89,56.96,1.5,0.3,11.52,6.81
51,20-févr.,0,43,0,0,0,0,0,0,14,32,10,52.83,1.59,0,12.58,8.87,50.72,1.73,0.32,12.53,8.09
52,21-févr.,0,56,0,0,0,0,0,0,3,32,9,52.29,1.48,0,13.25,8.47,57.21,1.63,0.3,11.78,8.46
53,22-févr.,0,28,0,0,0,0,0,0,22,26,24,53.57,1.46,0,13.65,7.79,53.99,1.41,0.33,13.44,7.52
54,23-févr.,0,40,0,0,0,0,2,0,16,24,18,53.19,1.42,0,14.07,8.05,53.99,1.44,0.31,14.88,7.57
55,24-févr.,0,35,0,0,0,0,0,0,21,20,24,53.07,1.54,0,14.05,8.2,52.25,1.39,0.3,13.34,7.98
56,25-févr.,0,33,0,0,0,0,0,0,20,23,24,53.25,1.55,0,14.16,8.22,51.57,1.85,0.29,16.58,7.81
57,26-févr.,0,42,0,0,0,0,0,0,16,26,17,52.86,1.46,0,13.98,8.17,52.43,1.15,0,15.64,7.25
58,27-févr.,0,49,0,0,0,0,0,17,0,19,15,51.72,1.63,0,13.22,8.32,52.23,1.85,0,14.04,9.08
59,28-févr.,0,77,0,0,0,0,0,0,10,12,1,50.86,1.39,0,13.02,8.34,53.93,1.76,0.32,13.2,7.52
60,1-mars,0,48,0,0,0,0,0,14,0,23,15,52.21,1.51,0,13.83,8.24,53.73,1.92,0.3,12.92,7.2
61,2-mars,0,35,0,0,0,0,7,11,8,25,13,52.99,1.39,0,13.36,7.9,50.17,2.1,0.3,12.86,8.28
62,3-mars,0,39,0,0,0,0,5,0,18,29,9,53.12,1.4,0,12.82,7.94,50.65,1.69,0.29,13.5,8.54
63,4-mars,0,37,0,0,0,0,0,15,3,38,8,52.95,1.54,0,12.05,8.1,54.09,1.51,0.3,13.35,8.23
64,5-mars,0,53,0,0,0,0,0,10,6,17,14,52.06,1.48,0,13.37,8.32,51.79,1.63,0.31,15.04,9.26
65,6-mars,0,45,0,0,0,0,24,13,0,16,3,51.53,1.53,0,15.16,8.07,48.28,1.92,0.29,15.03,9.29
66,7-mars,0,51,0,0,0,0,5,0,4,26,14,52.3,1.38,0,14.4,7.73,53.68,1.5,0.28,15.44,7.71
67,8-mars,0,24,0,0,0,0,8,0,18,18,32,53.23,1.4,0,14.91,7.52,55.06,1.38,0.29,14.04,6.9
68,9-mars,0,35,0,0,0,0,15,0,14,23,14,52.96,1.35,0,15.24,7.51,52.8,1.55,0,13.62,8.62
69,10-mars,0,34,0,0,0,0,5,0,23,22,16,53.39,1.29,0,13.83,7.47,52.01,1.51,0.31,15.91,8.08
70,11-mars,0,42,0,0,0,0,3,0,15,20,20,53.28,1.25,0,14.52,7.12,50.55,1.54,0,18.41,7.12
71,12-mars,0,32,0,0,0,0,2,0,16,22,27,53.95,1.14,0,12.77,7.2,56.17,1.35,0,13.16,7.12
72,13-mars,0,39,0,0,0,0,4,0,9,23,25,53.72,1.02,0,12.71,7.15,56.39,1.28,0.28,13.11,7.36
73,14-mars,0,32,0,0,0,0,0,0,38,29,0,52.71,1.59,0,11.39,7.61,55.64,1.33,0.3,13.85,8.14
74,15-mars,0,40,0,0,0,0,0,0,14,46,0,54.29,1.23,0,12.14,7.27,57.56,1.55,0.3,10.72,7.52
75,16-mars,0,35,0,0,0,0,0,0,39,26,0,53.1,1.52,0,11.44,8.07,53.73,1.69,0.32,14.68,8.84
76,17-mars,0,41,0,0,0,0,0,0,37,22,0,52.88,1.49,0,11.74,8.18,51.07,1.96,0.33,13.71,9.09
77,18-mars,0,33,0,0,0,0,0,0,42,25,0,53.13,1.55,0,11.43,8.18,52.12,2.09,0.34,13.35,9.22
78,19-mars,0,36,0,0,0,0,0,0,37,20,7,52.94,1.57,0,11.74,8.58,51.78,1.83,0.31,13.28,9.5
79,20-mars,0,38,0,0,0,0,0,12,14,23,13,53.52,1.38,0,12.5,8.19,53.24,1.74,0.29,12.64,8.9
80,21-mars,0,43,0,0,0,0,0,2,17,24,13,52.45,1.39,0,12.74,9.02,51.29,1.98,0.33,12.24,9.84
81,22-mars,0,24,0,0,0,0,0,26,17,19,14,52.2,1.7,0,11.76,9.39,53.74,1.8,0.32,11.56,8.95
82,23-mars,0,37,0,0,0,0,0,24,13,18,7,51.64,1.66,0,12.38,10.02,53.58,1.51,0.3,13.04,8.6
83,24-mars,0,36,0,0,0,0,4,24,19,14,2,51.02,1.78,0,12.9,10.11,51.22,1.95,0.31,11.4,9.36
84,25-mars,0,42,0,0,0,0,3,10,27,19,0,51.63,1.75,0,12.55,9.58,52.72,1.74,0.31,13.22,9.6
85,26-mars,0,36,0,0,0,0,3,23,17,20,0,50.44,1.73,0,12.58,10.85,49.43,1.92,0.33,12.21,11.32
86,27-mars,0,32,0,0,0,0,0,27,21,19,0,51.86,1.88,0,11.19,10.6,54.18,1.53,0.32,10.84,9.33
87,28-mars,0,49,0,0,0,0,0,8,22,20,0,52.22,1.81,0,11.61,9.09,49.61,1.59,0.33,13.06,10.76
88,29-mars,0,32,0,0,0,0,0,0,43,25,0,52.58,1.66,0,11.71,8.73,50.59,2.15,0.32,13.89,10.1
89,30-mars,0,52,0,0,0,0,0,0,28,20,0,51.89,1.95,0,10.64,9.51,51.81,1.71,0.3,14.63,9.29
90,31-mars,0,67,0,0,0,0,0,0,16,16,0,51.18,1.82,0,11.82,9.37,49.98,1.67,0.31,14.81,9.84
91,1-avr.,0,100,0,0,0,0,0,0,0,0,0,49.1,2.07,0,11.95,9.28,48.05,1.6,0.32,14.19,9.84
92,2-avr.,0,100,0,0,0,0,0,0,0,0,0,48.85,2.18,0,11.5,9.72,45.77,2.34,0.35,15.2,11.4
93,3-avr.,0,100,0,0,0,0,0,0,0,0,0,47.95,2.15,0,18.3,10,46.8,2.21,0.33,16.6,10.77
94,4-avr.,0,100,0,0,0,0,0,0,0,0,0,48.06,2.18,0,17.71,10.13,46.65,2.17,0.32,18.09,9.77
95,5-avr.,0,85,5,0,0,0,0,10,0,0,0,48.94,1.66,0,17.43,9.12,44.37,1.92,0.33,20.13,9.23
96,6-avr.,0,94,0,0,0,0,0,6,0,0,0,49.4,1.48,0,18.16,8.98,47.38,1.84,0.31,17.7,9.84
97,7-avr.,0,92,0,0,0,0,0,8,0,0,0,49.27,1.43,0,18.56,8.73,48.94,1.96,0.33,18.51,9.63
98,8-avr.,0,88,0,0,0,0,0,12,0,0,0,48.7,1.76,0,15.87,9.6,46.43,1.68,0,16.61,10.08
99,9-avr.,0,89,0,0,0,0,0,11,0,0,0,48.05,1.87,0,16.46,10.09,47.6,1.93,0,16.91,10.52
100,10-avr.,0,82,0,0,0,0,0,18,0,0,0,47.97,1.86,0,17.94,9.53,43.87,1.79,0.32,17.98,11.71
101,11-avr.,0,93,0,0,0,0,0,7,0,0,0,50.06,1.95,0,15.92,9.18,47.63,1.96,0.31,18.8,8.82
102,12-avr.,0,100,0,0,0,0,0,0,0,0,0,49.2,1.99,0,17.56,9.22,47.52,1.85,0.32,18.89,9.16
103,13-avr.,0,99,0,0,0,0,0,1,0,0,0,49.42,1.98,0,17.41,9.06,46.27,1.89,0.33,18.48,11.49
104,14-avr.,0,81,12,0,0,0,0,7,0,0,0,48.72,1.86,0,18.31,9.05,47.55,1.29,0.31,15,10.48
105,15-avr.,0,68,27,0,0,0,0,5,0,0,0,48.3,1.72,0,18.47,9.23,45.04,1.52,0.3,17.54,10.85
106,16-avr.,0,69,17,0,0,0,0,13,0,0,0,48.74,1.74,0,18.66,8.79,46.88,1.3,0.31,16.61,10.72
107,17-avr.,0,70,21,0,0,0,0,9,0,0,0,48.82,1.72,0,18.21,8.95,47.1,1.39,0.29,18.66,9.16
108,18-avr.,0,70,30,0,0,0,0,0,0,0,0,46.96,1.28,0,15.33,11.91,44.49,1.21,0.3,16.94,11.38
109,19-avr.,0,67,16,0,0,0,0,17,0,0,0,48.05,1.32,0,14.96,11.01,49.49,1.05,0.3,17.57,9.09
110,20-avr.,0,84,16,0,0,0,0,0,0,0,0,47.78,1.26,0,15.05,11.73,46.73,1.52,0.31,18.22,10.55
111,21-avr.,0,69,18,0,0,0,0,13,0,0,0,46.84,1.54,0,16.9,10.36,46.95,1.43,0.32,16.92,10.61
112,22-avr.,0,62,38,0,0,0,0,0,0,0,0,44.99,1.53,0,17.44,11.04,44.73,1.34,0.32,19.41,10.41
113,23-avr.,0,68,32,0,0,0,0,0,0,0,0,44.7,1.3,0,19.54,10.61,49.09,2.01,0,15.4,9.46
114,24-avr.,0,69,31,0,0,0,0,0,0,0,0,46.65,1.42,0,18.38,9.84,48.75,1.04,0,17.17,9.26
115,25-avr.,0,70,28,0,0,0,0,2,0,0,0,47.91,1.36,0,16.07,9.52,46.89,1.32,0,21.49,9.13
116,26-avr.,0,55,34,0,0,0,0,11,0,0,0,46.29,1.43,0,18.45,10.16,47.54,1.36,0.32,17.91,9.13
117,27-avr.,0,67,33,0,0,0,0,0,0,0,0,47.74,1.42,0,16.71,10.08,48.96,1,0.32,16.35,9.13
118,28-avr.,0,66,34,0,0,0,0,0,0,0,0,47.82,1.29,0,17.52,10.01,51.36,1.03,0.29,15.1,9.4
119,29-avr.,0,66,34,0,0,0,0,0,0,0,0,49.04,1.15,0,15.47,9.56,51.21,1.18,0.3,17.04,8.11
120,30-avr.,0,72,28,0,0,0,0,0,0,0,0,48.53,1.23,0,15.98,9.46,51.09,1.06,0.31,16.45,8.11
121,1-mai,0,63,37,0,0,0,0,0,0,0,0,48.17,1.23,0,15.94,9.6,49.37,1.08,0.29,17.18,12.21
122,2-mai,0,72,28,0,0,0,0,0,0,0,0,49.47,1.13,0,16.99,8.97,49.92,0.92,0.3,16.48,9.33
123,3-mai,0,17,8,0,0,0,0,0,0,74,0,57.45,0.79,0,13,6.14,51.48,1.62,0.3,16.08,8.52
124,4-mai,0,63,33,0,0,0,0,1,2,0,0,49.35,1.25,0,16.62,8.86,48.9,1.46,0.3,16.64,9.26
125,5-mai,0,39,37,0,0,0,0,8,16,0,0,47.35,1.48,0,15.61,10.15,47.36,1.58,0.32,16.84,10.15
126,6-mai,0,45,33,0,0,0,0,12,9,0,0,48.15,1.47,0,15.95,10.04,44.27,1.44,0.32,15.6,12.24
127,7-mai,0,32,35,0,0,0,0,25,9,0,0,46.83,1.36,0,15.54,11.01,46.55,1.45,0.31,15.74,11.48
128,8-mai,0,30,36,0,0,0,0,23,11,0,0,47.32,1.32,0,14.91,11.12,44.83,1.54,0.32,17.12,11.09
129,9-mai,0,52,31,0,0,0,0,0,17,0,0,48.59,1.29,0,15.24,10.75,48.28,1.29,0,13.9,12.04
130,10-mai,0,40,27,0,0,0,0,22,11,0,0,48.76,1.24,0,15.1,10.12,47.05,1,0.3,16.88,9.43
131,11-mai,0,63,26,0,0,0,0,0,11,0,0,48.9,1.24,0,15.66,9.53,50.77,1.01,0.29,16,8.05
132,12-mai,0,35,22,0,0,0,0,29,13,0,0,48.4,1.21,0,14.84,10.02,47.22,1,0.28,19.3,8.73
133,13-mai,0,26,23,0,0,0,0,51,0,0,0,47.46,1.08,0,15.07,10.25,0,0,0,0,0
134,14-mai,0,21,17,0,0,0,0,45,16,0,0,47.97,1.24,0,14.54,10.26,48.46,1.06,0,15.38,10.1
135,15-mai,0,50,22,0,0,0,0,7,21,0,0,49.13,1.24,0,14.8,9.71,50.13,1.04,0,14.8,9.77
136,16-mai,0,55,26,0,0,0,0,0,19,0,0,49.15,1.23,0,14.91,9.67,48.78,1.3,0,15.17,9.86
137,17-mai,0,53,25,0,0,0,0,0,22,0,0,49.44,1.33,0,14.31,10.14,50.85,1.2,0,13.47,8.07
138,18-mai,0,49,24,0,0,0,0,7,19,0,0,49.3,1.32,0,14.42,10.16,49.71,1.31,0,14.24,10.07
139,19-mai,0,62,24,0,0,0,0,3,11,0,0,49.43,1.26,0,14.89,9.73,46.63,1.28,0,14.18,11.2
140,20-mai,0,62,24,0,0,0,0,3,11,0,0,49.43,1.26,0,14.89,9.73,50.42,1.28,0,14.05,10.03
141,21-mai,0,71,27,0,0,0,0,0,3,0,0,50.59,1.32,0,13.26,9.99,51.2,1.67,0,13.96,9.83
142,22-mai,0,69,17,0,0,0,0,6,7,0,0,51.07,1.32,0,12.24,10.02,49.43,1.57,0,13.55,9.83
143,23-mai,0,56,30,0,0,0,0,2,13,0,0,49.67,1.32,0,14.74,9.88,50.74,1.33,0,14,9.43
144,24-mai,0,60,22,0,0,0,0,0,18,0,0,50.17,1.39,0,14.5,9.87,47.88,1.17,0,13.94,10.43
145,25-mai,0,54,28,0,0,0,0,0,18,0,0,48.41,1.47,0,14.1,10.6,53.74,1.3,0,14.5,9.09
146,26-mai,0,44,28,0,0,0,0,7,21,0,0,48.44,1.54,0,12.64,11.14,50.7,1.61,0,13.78,9.43
147,27-mai,0,47,35,0,0,0,0,8,10,0,0,48.32,1.51,0,12.35,11.6,48.88,1.54,0,12.97,10.44
148,28-mai,0,48,19,0,0,0,0,20,13,0,0,49.54,1.49,0,11.69,11.12,50.89,1.2,0,14.78,9.09
149,29-mai,0,44,29,0,0,0,0,17,10,0,0,48.84,1.5,0,11.26,11.52,53.61,1.65,0,12.06,9.43
150,30-mai,0,46,21,0,0,0,0,18,15,0,0,49.41,1.52,0,11.47,11.24,51.41,1.3,0,15.26,8.52
151,31-mai,0,55,30,0,0,0,0,9,6,0,0,49.95,1.53,0,11.95,10.46,52.25,1.44,0,12.48,9.77
152,1-juin,0,58,32,0,0,0,0,0,10,0,0,50.18,1.46,0,14.48,11.27,47,1.6,0,13.62,10.84
153,2-juin,0,62,30,0,0,0,0,0,6,4,0,50.24,1.44,0,14.7,10.38,51.65,1.78,0,14.07,10.44
154,3-juin,0,70,24,0,0,0,0,0,6,0,0,49.35,1.57,0,15.58,10.77,46.72,1.91,0,16.27,9.98
155,4-juin,0,61,30,0,0,0,0,0,0,9,0,48.46,1.39,0,16.73,10.54,49.27,1.69,0,14,10.44
156,5-juin,0,56,32,0,0,0,0,0,0,12,0,0,0,0,0,0,46.06,1.9,0,16.22,10.97
157,6-juin,0,18,33,0,0,0,0,0,8,0,41,48.15,1.62,0,18.5,9.59,44.71,1.46,0,14.92,12.12
158,7-juin,0,62,21,0,0,0,0,0,12,0,5,49.13,1.48,0,16.13,10.19,46.89,1.52,0,17.42,9.85
159,8-juin,0,68,5,0,0,0,0,0,17,0,10,51.14,1.46,0,15.6,9.7,51.83,1.12,0,13.3,9.52
160,9-juin,0,70,9,0,0,0,0,11,10,0,0,49.68,1.52,0,11.85,10.25,50.08,1.07,0,14.92,9.82
161,10-juin,0,62,6,0,0,0,0,32,0,0,0,49.81,1.63,0,8.51,9.36,51.36,1.24,0,13.51,9.36
162,11-juin,0,58,17,0,0,0,0,25,0,0,0,49.12,1.46,0,8.64,10.33,49.69,1.8,0,12.78,11.66
163,12-juin,0,74,0,0,0,0,0,26,0,0,0,50.55,1.53,0,9.31,9.46,50.16,1.2,0,11.89,10.44
164,13-juin,0,18,38,0,0,0,0,0,40,0,4,50.7,1.48,0,9.34,9.39,50.95,1.79,0,13.25,11.46
165,14-juin,0,51,0,0,0,0,0,0,25,8,16,51.64,1.4,0,7.66,8.94,53.8,1.43,0,13.41,7.93
166,15-juin,0,52,0,0,0,0,0,0,18,29,0,51.61,1.56,0,12.06,10.62,53.18,1.57,0,14.04,8.16
167,16-juin,0,50,5,0,0,0,0,0,11,35,0,51.27,1.47,0,12.93,10.13,50.33,1.74,0,13.12,10.53
168,17-juin,0,48,12,0,0,0,0,0,25,15,0,50.3,1.4,0,13.52,10.44,52.26,1.23,0,13.42,9.57
169,18-juin,0,61,7,0,0,0,0,0,10,21,0,51.51,1.39,0,13.64,9.65,51.36,1.24,0,15.8,8.79
170,19-juin,0,74,0,0,0,0,0,0,23,4,0,52.98,1.51,0,11.13,10.42,49.47,1.41,0,16.39,9.26
171,20-juin,0,66,0,0,0,0,0,0,34,0,0,53.15,1.63,0,10.55,10.57,53.41,1.78,0,12.5,9.43
172,21-juin,0,65,5,0,0,0,0,0,30,0,0,52.23,1.51,0,11.07,10.87,53.11,1.44,0,13.94,8.39
173,22-juin,0,61,0,0,0,0,0,0,39,0,0,52.54,1.62,0,11.7,10.65,52.69,1.72,0,11.94,8.66
174,23-juin,0,58,11,0,0,0,0,0,32,0,0,52.3,1.61,0,10.82,10.95,55,1.5,0,10.16,8.93
175,24-juin,0,51,12,0,0,0,0,0,37,0,0,52.65,1.71,0,10.62,11.07,53.78,1.42,0,9.81,11.07
